officer_id,css,award_count
545,3.2273,6
546,5.6688,38
553,0.0963,6
554,2.1043,22
558,0.7,14
560,9.1827,120
561,0.1313,0
563,3.6044,18
567,1.49,75
568,0.6951,9
569,7.1074,17
572,7.783,28
575,2.3527,19
576,14.573,29
579,17.9021,46
580,0.3035,1
581,2.7516,23
583,4.141,9
586,0.4851,3
588,7.1574,18
591,6.3324,15
592,4.6272,9
593,1.068,0
594,0.6385,0
597,2.8738,0
598,1.2255,0
600,0.2622,2
603,0.8139,20
607,1.0891,0
609,0.7733,0
610,1.1955,1
611,1.0309,8
614,2.5666,14
615,4.087,19
618,3.679,113
621,10.1341,6
623,0.0856,17
624,3.213,13
625,0.9549,5
627,3.5568,63
628,8.0673,7
630,0.9143,14
632,8.4246,29
633,7.4114,10
635,5.9919,59
638,1.6552,0
639,11.0271,39
641,1.5769,12
642,10.0393,35
643,6.04,17
644,1.5358,15
645,16.3106,8
646,9.2793,42
648,2.7565,22
649,0.7363,7
650,35.3192,68
652,4.186,18
653,5.7682,64
654,5.2875,82
658,2.4992,6
660,2.5589,0
662,0.295,0
664,0.4033,0
665,2.4082,22
666,0.1678,10
667,0.7577,65
668,2.8457,15
670,5.2269,37
672,6.4772,26
674,3.9883,11
675,3.8435,13
676,5.8355,10
677,0.0265,13
678,9.6807,16
680,1.5824,62
681,0.6533,23
682,4.2861,22
683,2.2111,17
684,1.7258,0
686,3.36,24
687,2.5591,12
688,0.2993,11
690,3.066,32
694,6.26,31
695,9.336,49
697,2.2925,45
698,4.5994,40
700,4.3753,24
701,0.6695,26
702,3.15,52
703,1.1256,13
707,1.6,9
709,2.0933,61
711,1.4073,0
715,2.9742,28
720,0.4254,15
721,2.7604,28
725,9.5846,1
727,4.1792,37
728,0.8326,0
730,1.5844,3
734,4.8365,23
735,2.3276,15
736,12.3486,26
738,4.7083,35
739,2.3196,19
740,3.13,8
743,1.8082,78
745,1.9386,10
747,2.5237,7
750,8.6169,63
752,2.5513,60
753,0.671,8
754,7.6205,26
756,1.2796,13
757,1.4306,17
758,9.3254,41
759,11.4379,37
761,16.6682,167
763,3.5463,4
766,0.4738,15
770,0.5227,43
772,2.7333,23
774,4.154,6
779,1.033,40
780,4.888,16
781,0.0963,19
783,0.7875,4
785,2.069,71
787,1.7412,14
789,1.4911,27
790,15.6591,6
791,7.4515,79
792,6.3713,68
793,0.16,1
794,5.7244,36
797,16.8943,17
798,0.531,11
799,1.31,30
800,12.7196,95
801,1.8679,20
803,0.154,3
805,6.3553,40
806,3.714,40
808,2.8752,52
809,3.8567,53
810,0.3736,19
812,1,6
814,2.1089,47
817,1.438,13
818,2.4874,21
819,3.8125,28
820,4.142,86
821,4.3148,7
823,9.6524,57
824,0.1925,17
825,2.1188,1
826,3.4336,21
827,3.9987,69
828,1.8764,28
831,0.9217,11
833,18.4506,15
834,0.9688,25
835,3.0431,14
836,15.3763,24
838,0.4068,0
839,0.2736,6
840,1.9148,38
841,1.4162,13
843,3.8388,25
844,4.1537,6
847,3.2125,45
849,6.2243,2
850,4.3238,2
854,12.6367,94
856,2.3287,4
858,11.7856,40
859,5.3955,20
860,0.5085,0
863,2.3604,92
864,3.7937,41
867,9.7264,55
868,1.2528,8
869,3.0414,6
871,13.34,151
872,3.9652,33
874,4.7691,39
875,1.3812,3
876,2.4071,31
877,1.0957,6
878,0.7875,15
879,2.4688,39
880,4.2488,34
881,2.7781,23
882,6.0591,38
883,5.0936,72
884,4.9233,21
885,11.4296,26
886,1.462,22
887,10.8337,188
888,1.681,26
889,13.0693,4
890,13.486,142
892,0.154,0
896,1.5767,29
898,0.1741,0
899,0.3842,0
900,0.2327,27
901,1.14,15
902,8.2988,19
903,4.9616,0
906,4.954,20
907,3.6418,72
908,3.4128,3
909,7.0432,2
910,21.2306,25
911,3.1448,16
913,1.9945,33
915,5.9717,22
916,2.5231,40
918,0.84,26
920,2.298,65
923,2.6229,1
924,1.0123,3
925,0.7008,5
927,1.5561,0
928,0.8863,0
930,4.8488,21
932,4.472,69
933,25.7418,144
940,1.55,14
942,0.574,38
943,13.4976,158
944,4.5829,10
947,0.9827,1
948,0.2625,22
949,0.9941,22
958,2.9769,30
959,1.8218,13
960,0.3015,22
961,3.6308,34
964,0.7473,0
965,9.0996,10
966,6.03,45
968,3.2661,32
969,4.8211,25
970,0.1653,5
971,4.5627,37
972,2.13,44
973,1.2228,17
974,0.7617,14
975,4.1629,54
976,1.2005,1
977,0.8715,7
979,5.6113,5
981,2.5174,27
982,4.2036,67
983,6.0563,38
984,11.5636,41
985,16.3176,36
986,3.5486,46
987,0.7246,37
989,0.0963,10
990,0.4068,4
994,18.6453,103
995,2.234,2
996,0.8208,12
997,8.2579,19
999,0.1711,28
1000,2.4,28
1002,3.2343,19
1003,0.1958,14
1004,4.6469,10
1005,5.8686,6
1007,7.2852,57
1008,2.1586,13
1012,4.7491,7
1013,11.9909,79
1014,2.0107,40
1016,5.1476,10
1017,0.5446,3
1018,15.7629,189
1020,1.1128,15
1021,3.5687,84
1022,4.7476,26
1026,21.7,119
1029,1.5933,1
1031,0.8144,14
1032,1.8264,8
1033,4.5118,17
1034,0.2625,0
1036,2.3413,18
1037,25.4837,89
1039,11.4668,94
1040,1.6761,24
1041,0.11,4
1043,6.7827,58
1044,5.1186,10
1046,0.2659,1
1047,3.1142,17
1048,6.6377,18
1049,5.2422,29
1050,0.3947,0
1051,0.9689,20
1052,2.0487,36
1053,7.0633,55
1054,11.5061,29
1056,23.5139,78
1057,14.1629,80
1059,0.8093,4
1060,4.202,11
1061,3.495,11
1062,2.7514,6
1063,17.407,213
1065,0.6183,7
1066,4.6393,32
1067,0.3033,1
1070,0.6133,44
1072,4.1577,23
1073,0.5756,25
1074,1.214,6
1075,10.2273,64
1079,3.5634,21
1082,0.2443,0
1084,6.6682,27
1085,6.0139,27
1087,0.6857,31
1089,0.1133,1
1090,2.6208,21
1091,21.8508,26
1092,2.987,13
1093,0.5107,16
1094,10.0881,66
1096,6.5574,9
1097,7.0534,28
1100,0.5997,23
1101,1.116,2
1102,4.1618,4
1103,0.948,15
1107,0.7946,43
1111,3.1215,1
1112,2.3838,10
1113,4.4616,13
1114,5.2467,248
1115,0.0926,2
1116,5.0252,0
1118,0.1575,0
1122,1.6038,14
1123,0.9133,5
1124,1.0067,4
1126,0.872,34
1127,5.7958,30
1128,3.9436,53
1129,0.9707,24
1130,2.9107,95
1134,1.3708,8
1136,11.3663,41
1139,2.967,5
1141,8.0095,30
1144,1.8413,7
1145,3.7712,13
1146,19.0305,145
1147,1.6833,22
1148,15.2641,156
1149,14.1177,20
1151,1.9875,10
1152,1.94,6
1153,1.7763,89
1154,1.0595,7
1156,0.7957,72
1157,2.14,7
1158,0.3112,0
1159,0.7881,2
1160,2.1106,7
1163,1.3714,2
1168,2.4491,11
1171,3.8235,17
1172,19.8704,95
1173,1.9431,10
1175,4.132,2
1177,2.1885,2
1178,0.6636,7
1179,9.5724,10
1180,0.731,8
1183,15.1697,9
1184,3.3883,38
1186,0.36,0
1188,0.2438,8
1189,7.748,107
1190,0.8671,2
1191,1.2964,3
1193,5.1083,82
1194,0.2567,8
1196,6.4496,4
1199,0.1283,4
1201,2.39,26
1203,3.8517,23
1205,4.0679,18
1207,1.6732,2
1210,2.799,7
1214,0.11,11
1215,5.1019,11
1216,0.2942,5
1218,2.978,13
1219,13.3241,45
1220,1.2704,7
1222,7.4083,78
1224,2.0389,47
1225,3.3813,9
1227,1.5593,40
1230,4.7679,6
1231,4.7057,72
1233,1.8748,15
1234,3.1863,15
1235,1.7848,26
1237,1.446,14
1240,5.8089,7
1241,2.1953,22
1242,2.9274,11
1243,1.4889,0
1244,1.5644,14
1245,1.4505,34
1247,2.5102,14
1248,3.6257,46
1251,4.3232,1
1252,3.6475,63
1253,0.7168,5
1256,1.9435,3
1257,11.6073,48
1259,0.0167,6
1260,10.8927,76
1261,3.7992,16
1262,8.5833,155
1263,6.2867,88
1264,1.3133,9
1265,6.4633,26
1266,7.3903,36
1267,1.62,46
1270,5.2158,32
1271,6.5822,28
1272,3.4605,18
1276,0.9087,14
1277,16.2153,72
1278,9.0053,69
1279,0.1432,2
1280,1.3948,4
1281,0.957,16
1283,8.1716,156
1286,1.2963,9
1287,0.4602,3
1288,14.0558,40
1289,2.4366,5
1294,0.6875,6
1295,3.4169,34
1296,7.3035,21
1297,3.7488,13
1298,15.4004,59
1299,2.2975,13
1300,0.4045,0
1302,0.2265,2
1303,9.5413,51
1304,14.9295,85
1307,0.4046,4
1310,1.6043,13
1314,9.1107,23
1315,0.9742,2
1316,7.4237,75
1317,8.8561,38
1318,0.7794,10
1320,0.5479,1
1323,6.6334,22
1324,8.3303,25
1326,0.3173,0
1327,0.2079,49
1331,3.0804,25
1332,21.914,15
1333,1.6847,32
1335,6.4771,17
1336,2.6123,145
1338,0.4598,1
1339,2.0865,0
1340,2.6855,22
1343,0.3726,3
1344,21.793,47
1345,8.4219,49
1346,3.5626,25
1347,2.55,60
1348,1.7492,4
1349,6.5353,53
1350,5.9547,60
1351,1.164,18
1352,8.3636,66
1353,2.6281,15
1354,4.6331,35
1355,1.8063,6
1357,5.9369,3
1358,2.2344,10
1359,4.385,16
1360,1.8177,3
1361,0.6231,12
1364,3.0709,27
1365,0.8276,6
1366,4.586,100
1367,1.5367,8
1368,0.9759,0
1369,2.367,10
1370,3.5125,84
1371,14.7476,52
1373,1.8959,13
1375,0.2531,0
1376,2.99,11
1377,5.1288,72
1378,0.2182,5
1379,0.6196,4
1381,5.7467,49
1382,0.5458,29
1385,4.204,12
1386,0.0592,39
1389,7.0309,57
1390,3.752,64
1391,6.6267,55
1392,1.05,6
1394,0.1713,1
1395,1.6,5
1397,1.8583,14
1399,5.2763,15
1402,0.22,0
1408,1.5011,5
1410,3.4049,12
1411,2.8696,14
1413,3.0961,32
1414,3.8707,34
1415,0.5118,5
1416,5.9471,2
1417,3.0617,1
1419,1.1264,36
1420,13.3986,60
1421,3.1802,14
1422,2.8469,16
1423,3.7789,28
1425,0.431,6
1426,1.3924,19
1427,6.7057,23
1429,0.8021,19
1430,6.31,44
1433,3.7543,1
1434,12.2774,108
1435,3.0854,15
1436,7.9956,42
1438,1.8708,3
1439,0.1537,1
1440,10.0561,60
1442,5.1544,26
1444,16.4268,206
1447,0.8574,9
1452,3.0988,189
1455,3.045,6
1456,1.2767,0
1457,0.137,0
1458,6.8733,11
1460,0.8247,22
1461,0.8848,4
1462,4.0327,3
1463,1.5386,13
1464,7.7965,59
1468,2.4519,43
1469,2.5902,3
1471,6.0756,88
1473,1.9253,4
1474,2.9044,4
1475,1.1831,3
1479,1.1247,1
1485,1.1294,131
1488,2.3662,42
1489,1.0667,26
1490,4.705,31
1492,2.2378,0
1505,2.2225,15
1506,3.3087,17
1507,3.0829,59
1509,11.4909,25
1510,0.8495,71
1511,6.5045,28
1512,2.3939,5
1513,1.2685,1
1514,0.8388,30
1515,2.2091,0
1516,3.72,19
1517,6.9646,100
1518,1.5467,0
1519,2.4754,3
1520,1.3714,21
1523,2.8911,2
1524,0.6786,13
1527,2.0619,91
1528,3.4134,15
1531,19.7362,11
1532,3.2678,30
1533,8.0989,14
1535,9.8013,65
1544,6.2108,83
1547,7.6537,34
1548,6.7657,111
1550,2.7771,19
1553,29.4486,113
1554,1.1406,2
1556,0.9768,4
1557,1.9852,29
1559,4.9876,25
1561,2.0448,73
1563,0.1267,7
1564,1.5281,61
1566,0.4548,3
1569,1.881,87
1570,5.2079,80
1571,1.1442,47
1572,5.4053,7
1573,6.2291,51
1575,3.3227,30
1576,2.5628,67
1577,1.195,13
1578,2.2868,39
1579,1.72,36
1581,2.4853,80
1582,5.1132,24
1586,2.998,32
1588,14.2446,27
1589,0.6169,1
1592,0.3074,13
1594,4.7327,63
1595,7.5885,1
1596,4.5248,24
1597,1.9959,35
1598,4.3541,21
1599,3.3641,50
1601,0.7235,8
1602,1.9424,0
1603,6.0225,6
1604,0.0413,3
1606,3.1763,3
1607,0.7467,12
1609,2.107,7
1610,6.7764,32
1611,0.41,31
1616,1.2215,39
1619,3.878,80
1620,1.504,41
1623,2.3773,15
1624,1.4213,16
1625,17.3486,78
1627,1.3273,53
1628,4.0481,13
1630,2.6747,32
1631,3.2004,24
1634,6.7476,17
1635,0.6854,43
1636,0.5185,22
1639,1.0208,13
1640,0.1291,0
1642,6.1448,132
1644,0.5165,6
1645,0.5997,0
1647,23.1907,140
1649,2.7329,0
1650,5.6774,20
1652,16.6075,28
1654,5.4514,6
1655,4.4163,11
1656,3.0236,41
1657,5.7534,11
1658,6.9554,38
1659,1.882,6
1660,0.1286,0
1662,19.6327,115
1663,1.3014,3
1665,6.8917,47
1666,5.555,165
1667,7.0633,7
1672,12.4042,40
1674,1.6944,21
1677,11.9779,53
1678,4.4244,11
1679,1.9509,23
1680,2.8753,14
1681,2.796,9
1684,0.8354,4
1685,0.4159,13
1690,2.945,11
1692,8.31,142
1693,2.0831,34
1695,15.1775,127
1696,5.6912,26
1702,2.3111,3
1703,3.4586,12
1704,6.0981,21
1706,5.0045,12
1707,0.0916,1
1710,2.9757,19
1713,0.6391,0
1714,0.8586,34
1715,20.7808,90
1716,5.6905,29
1717,3.5381,17
1718,12.2765,28
1720,2.49,71
1721,8.6463,12
1722,4.9391,23
1723,5.9087,12
1725,1.2787,3
1728,5.3854,16
1729,4.4336,6
1730,3.6963,1
1732,0.9345,3
1739,4.5933,61
1742,1.3769,41
1743,2.8769,8
1744,6.7694,33
1745,1.5847,2
1747,13.9082,55
1748,8.14,71
1749,0.6705,3
1752,1.366,20
1753,4.9553,78
1754,6.5248,39
1756,5.5757,41
1758,6.6333,59
1760,4.9783,19
1761,2.4552,0
1762,3.1987,6
1763,0.1713,1
1768,2.8429,8
1769,5.3552,72
1771,2.433,1
1772,1.25,29
1773,2.4063,19
1774,0.035,36
1775,1.1834,11
1776,4.875,61
1785,5.3971,69
1786,7.9065,9
1787,2.7971,11
1788,8.0254,61
1789,2.9927,37
1790,0.1827,3
1792,0.7716,2
1794,1.0208,14
1796,0.8598,36
1797,7.5368,106
1800,10.8572,0
1802,4.774,22
1803,3.5173,21
1804,1.05,4
1805,0.556,0
1808,5.8529,149
1811,0.7579,3
1812,2.2346,28
1813,12.5929,142
1814,3.5277,69
1818,0.1445,0
1821,0.1349,14
1822,0.394,25
1823,5.0943,10
1825,7.5557,147
1829,2.0484,30
1830,2.304,168
1831,2.407,10
1832,19.8762,50
1838,0.8055,11
1839,9.3793,8
1841,4.0181,111
1843,4.3929,20
1844,5.2717,16
1849,12.7267,134
1850,0.1286,0
1851,3.9313,48
1852,1.7224,79
1853,1.6524,4
1858,3.5827,69
1859,1.6,2
1860,1.7411,29
1861,0.154,7
1866,9.4296,91
1867,5.4606,89
1868,11.9815,11
1869,2.95,14
1870,3.2811,4
1872,2.0757,19
1873,5.825,24
1874,2.1015,19
1875,1.9,53
1877,2.0229,4
1878,0.1133,4
1879,8.6459,34
1882,7.583,63
1883,1.2431,40
1884,7.3471,115
1885,8.1362,3
1891,12.3738,54
1892,1.7868,7
1895,4.17,14
1896,2.9862,32
1897,6.6736,6
1898,2.4539,13
1899,1.9836,92
1900,7.5621,121
1901,26.3583,23
1905,2.5997,45
1907,5.7839,12
1909,6.3447,39
1910,4.6532,0
1911,0.0963,10
1913,0.9586,12
1914,5.6082,85
1915,4.3738,9
1924,8.89,29
1926,2.2744,8
1927,11.446,83
1928,1.7442,21
1929,1.5,19
1930,1.185,13
1931,4.7516,14
1932,8.8231,30
1935,0.8507,19
1936,8.4147,43
1937,1.4442,4
1938,2.7448,118
1940,6.4188,11
1944,1.843,16
1945,4.7053,34
1948,8.9327,5
1949,3.135,18
1950,9.7114,71
1951,0.997,13
1953,0.4567,28
1956,3.8853,0
1957,3.8609,21
1958,4.4665,125
1963,1.6367,10
1966,0.42,5
1969,0.5394,8
1970,1.5313,36
1971,17.1727,127
1972,1.8144,7
1974,6.201,21
1977,1.6992,42
1979,0.2739,7
1981,1.3925,2
1982,0.892,0
1984,2.4745,11
1986,5.7835,42
1988,6.4803,42
1989,10.0773,110
1990,0.126,1
1991,0.4345,5
1992,12.1791,16
1994,1.5897,25
1995,9.9343,3
1997,1.0157,7
2000,3.6373,12
2003,3.0873,80
2005,3.5063,11
2006,2.695,37
2007,1.338,6
2008,9.2779,22
2009,2.1041,17
2010,0.518,0
2011,0.0197,17
2013,22.0941,7
2015,36.8503,112
2020,5.84,19
2021,6.3655,19
2022,4.7764,59
2024,2.5971,1
2025,0.553,26
2028,1.9749,6
2029,3.3803,39
2030,5.405,72
2031,1.4979,5
2032,4.0883,28
2034,6.1296,76
2036,5.6877,62
2037,4.9726,52
2038,2.17,18
2042,3.2738,35
2045,0.6031,34
2046,5.0794,26
2047,4.7821,56
2049,5.044,86
2050,0.7928,20
2051,3.763,25
2052,7.8483,64
2054,1.4224,3
2058,0.0267,10
2059,2.8875,37
2061,0.8888,28
2062,1.4168,22
2065,3.515,14
2067,0.0652,2
2068,11.2667,121
2069,0.79,12
2070,1.4648,3
2071,3.1036,52
2075,1.5067,0
2076,0.1665,6
2077,2.5833,29
2078,0.617,0
2083,5.9693,81
2085,10.5553,8
2087,3.3091,34
2088,4.1595,39
2090,4.5348,43
2093,2.64,56
2096,24.845,1
2097,8.4157,150
2099,0.2016,0
2100,4.4621,24
2101,7.6908,18
2104,1.5659,10
2106,3.3141,2
2109,1.0706,23
2110,5.5693,137
2111,6.2631,7
2112,0.9263,24
2113,15.8435,72
2114,7.8771,19
2117,25.0852,73
2118,1.2761,2
2119,8.2226,12
2120,7.6423,34
2121,1.1855,9
2123,1.1482,4
2124,0.7204,5
2125,1.8514,8
2128,0.1948,20
2129,7.9348,29
2131,1.3879,0
2132,2.3453,1
2135,0.1416,0
2136,2.474,21
2137,2.5306,2
2138,3.05,32
2139,4.2766,0
2140,1.6775,9
2141,2.4133,88
2142,1.87,12
2143,0.675,21
2144,5.0346,37
2145,9.7502,2
2146,1.1092,9
2147,6.8996,33
2149,2.5897,49
2150,2.4572,1
2151,13.3227,33
2152,0.212,13
2153,9.6313,46
2154,0.7209,13
2157,6.3741,64
2160,1.7943,14
2161,6.3645,68
2162,3.3028,30
2165,4.9116,23
2166,3.5752,20
2168,16.8758,29
2170,5.0989,36
2171,1.5755,5
2172,1.2913,13
2173,2.2858,4
2174,1.5681,154
2175,1.3529,1
2178,1.1658,10
2180,9.3347,133
2181,2.04,39
2183,5.4067,5
2185,2.0429,37
2186,0.3887,1
2188,0.3161,1
2189,3.2695,27
2190,3.6258,33
2191,9.7564,41
2192,0.2796,3
2193,4.4967,24
2200,3.3807,47
2201,8.02,98
2202,2.3224,74
2205,5.2171,7
2208,4.038,8
2209,2.1044,3
2210,3.7845,80
2211,6.4639,54
2213,1.2742,15
2214,8.13,34
2216,7.2939,27
2219,3.8779,32
2222,16.1288,42
2226,0.0462,6
2227,2.422,22
2228,10.8562,109
2230,5.7546,4
2231,3.1933,17
2232,2.6248,23
2233,0.3565,50
2234,2.5736,52
2236,0.252,18
2237,1.718,2
2240,6.681,3
2241,7.0247,45
2242,3.7077,3
2244,1.5588,27
2247,14.0452,38
2248,1.0667,30
2250,0.3541,27
2252,2.6581,12
2253,1.3431,13
2255,11.0707,109
2257,1.5089,8
2259,6.9303,24
2261,0.607,0
2264,6.8284,40
2266,5.1812,60
2269,5.1907,38
2272,0.11,7
2273,0.606,1
2276,0.6944,16
2278,3.3192,23
2280,5.0688,29
2282,1.509,11
2283,2.5023,31
2287,0.7551,10
2289,0.3386,1
2290,6.2717,18
2291,1.6447,6
2292,2.0062,56
2295,4.6483,191
2297,3.506,75
2298,3.6733,18
2300,1.4236,14
2301,3.4294,127
2306,1.085,42
2307,24.5331,74
2309,2.6993,6
2310,1.815,22
2311,20.0452,8
2314,5.3084,12
2316,1.5474,31
2318,0.3792,3
2322,9.197,53
2323,6.8585,14
2325,2.3324,13
2328,3.0677,17
2330,0.7042,10
2331,0.3854,4
2333,2.5128,5
2334,7.2739,65
2336,6.2813,95
2337,2.2896,16
2338,0.4347,0
2340,0.3355,3
2343,3.0864,26
2344,1.0217,16
2346,16.0394,70
2347,1.3033,17
2348,1.4467,23
2350,3.7763,27
2352,5.3683,39
2354,0.4694,6
2356,24.0579,57
2357,5.0805,3
2358,1.7731,7
2359,3.3905,124
2363,11.5536,92
2364,0.6468,17
2365,4.9715,7
2366,0.7541,6
2368,3.612,8
2369,17.355,78
2370,2.3032,8
2372,2.399,32
2373,3.6642,14
2374,15.74,88
2375,25.74,27
2380,3.687,1
2381,1.242,1
2383,11.2936,17
2384,11.1633,33
2385,7.33,5
2386,7.1986,7
2387,1.137,62
2388,13.29,23
2390,1.1627,30
2392,2.7875,42
2393,0.9055,0
2394,15.8887,66
2396,0.0691,0
2397,5.9438,27
2399,12.5947,47
2400,28.0252,50
2401,0.9192,4
2403,7.9146,68
2404,3.214,15
2408,0.3553,1
2409,10.4237,34
2411,5.4081,9
2413,2.6963,8
2415,0.9427,23
2416,9.669,28
2418,9.6076,40
2419,2.395,61
2420,0.1488,3
2422,6.6153,62
2423,4.55,55
2424,13.2467,14
2425,1.1825,19
2427,5.549,5
2428,4.2343,36
2431,0.0963,15
2432,2.4837,62
2433,9.0781,100
2436,2.7067,66
2438,0.47,10
2439,7.0667,69
2441,2.5088,30
2442,4.671,42
2443,1.0819,0
2446,0.7786,6
2447,1.0405,7
